Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Alejandro Davidovich Fokina,Dennis Novak,99,85,21,27,627,695,Round of 128,US Open,Hard,BO5,31/08/2020,1
Alexander Bublik,Kyle Edmund,54,44,23,25,965,"1,050",Round of 128,US Open,Hard,BO5,31/08/2020,0
Ernesto Escobedo,Kamil Majchrzak,185,107,24,24,284,532,Round of 128,US Open,Hard,BO5,31/08/2020,1
Marton Fucsovics,Hugo Dellien,66,97,28,27,787,638,Round of 128,US Open,Hard,BO5,31/08/2020,1
Ivo Karlovic,Richard Gasquet,126,51,41,34,444,985,Round of 128,US Open,Hard,BO5,31/08/2020,0
Marcos Giron,Marc Polmans,96,121,27,23,639,462,Round of 128,US Open,Hard,BO5,31/08/2020,1
Norbert Gombos,Radu Albot,104,70,30,30,550,772,Round of 128,US Open,Hard,BO5,31/08/2020,1
Lloyd Harris,Marco Cecchinato,95,108,23,27,641,526,Round of 128,US Open,Hard,BO5,31/08/2020,1
Ugo Humbert,Yuichi Sugita,42,88,22,31,"1,111",682,Round of 128,US Open,Hard,BO5,31/08/2020,1
Gianluca Mager,Miomir Kecmanovic,80,47,25,21,711,"1,028",Round of 128,US Open,Hard,BO5,31/08/2020,0
Pedro Sousa,Mitchell Krueger,110,198,32,26,522,264,Round of 128,US Open,Hard,BO5,31/08/2020,0
Mikhail Kukushkin,Attila Balazs,90,78,32,31,661,715,Round of 128,US Open,Hard,BO5,31/08/2020,1
Sam Querrey,Andrey Kuznetsov,45,,32,,"1,045",,Round of 128,US Open,Hard,BO5,31/08/2020,0
Thai-Son Kwiatkowski,Soonwoo Kwon,187,73,25,22,281,742,Round of 128,US Open,Hard,BO5,31/08/2020,0
Juan Ignacio Londero,Evgeny Donskoy,62,114,27,30,832,505,Round of 128,US Open,Hard,BO5,31/08/2020,1
Michael Mmoh,Joao Sousa,186,68,22,31,281,776,Round of 128,US Open,Hard,BO5,31/08/2020,1
Jiri Vesely,Corentin Moutet,67,77,27,21,785,722,Round of 128,US Open,Hard,BO5,31/08/2020,0
Yoshihito Nishioka,Andy Murray,49,115,24,33,"1,007",502,Round of 128,US Open,Hard,BO5,31/08/2020,0
Bradley Klahn,Sumit Nagal,129,124,30,23,436,448,Round of 128,US Open,Hard,BO5,31/08/2020,0
Brandon Nakashima,Paolo Lorenzi,223,125,19,38,229,447,Round of 128,US Open,Hard,BO5,31/08/2020,1
Laslo Djere,Christopher O'Connell,81,116,25,26,705,498,Round of 128,US Open,Hard,BO5,31/08/2020,0
Philipp Kohlschreiber,Vasek Pospisil,75,94,36,30,729,642,Round of 128,US Open,Hard,BO5,31/08/2020,0
Aljaz Bedene,Emil Ruusuvuori,53,92,31,21,965,648,Round of 128,US Open,Hard,BO5,31/08/2020,0
Mohamed Safwat,Gilles Simon,135,52,29,35,407,970,Round of 128,US Open,Hard,BO5,31/08/2020,0
Jack Sock,Pablo Cuevas,389,61,27,34,95,857,Round of 128,US Open,Hard,BO5,31/08/2020,1
Stefano Travaglia,Jordan Thompson,87,63,28,26,684,829,Round of 128,US Open,Hard,BO5,31/08/2020,0
Frances Tiafoe,Andreas Seppi,82,89,22,36,700,671,Round of 128,US Open,Hard,BO5,31/08/2020,1
Yannick Hanfmann,Miomir Kecmanovic,118,47,28,21,486,"1,028",Finals,Kitzbuhel,Clay,BO3,08/09/2020,0
Yannick Hanfmann,Laslo Djere,118,81,28,25,486,705,Semi-Finals,Kitzbuhel,Clay,BO3,08/09/2020,1
Marc-Andrea Huesler,Miomir Kecmanovic,303,47,24,21,139,"1,028",Semi-Finals,Kitzbuhel,Clay,BO3,08/09/2020,0
Laslo Djere,Diego Schwartzman,81,13,25,28,705,"2,265",Quarter-Finals,Kitzbuhel,Clay,BO3,08/09/2020,1
Maximilian Marterer,Yannick Hanfmann,337,118,25,28,118,486,Quarter-Finals,Kitzbuhel,Clay,BO3,08/09/2020,0
Marc-Andrea Huesler,Feliciano Lopez,303,57,24,38,139,908,Quarter-Finals,Kitzbuhel,Clay,BO3,08/09/2020,1
