Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Pablo Andujar,Tomas Martin Etcheverry,323,59,37,23,155,806,Round of 64,Barcelona,Clay,BO3,17/04/2023,0
Feliciano Lopez,David Goffin,593,99,41,32,55,595,Round of 64,Barcelona,Clay,BO3,17/04/2023,0
Albert Ramos-Vinolas,Emilio Gomez,58,120,35,31,810,497,Round of 64,Barcelona,Clay,BO3,17/04/2023,0
Nicolas Jarry,Marco Trungelliti,51,240,27,33,874,233,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Oleksii Krutykh,Pavel Kotov,180,108,23,24,327,553,Round of 64,Barcelona,Clay,BO3,17/04/2023,0
Jozef Kovalik,Pedro Martinez,155,136,30,25,377,426,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Jason Kubler,Daniel Rincon,66,300,29,20,769,172,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Francesco Passaro,Fernando Verdasco,125,244,22,39,486,229,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Emil Ruusuvuori,Alexander Bublik,40,55,24,25,977,865,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Yibing Wu,Diego Schwartzman,56,48,23,30,843,890,Round of 64,Barcelona,Clay,BO3,17/04/2023,0
Mackenzie McDonald,Ben Shelton,54,37,28,20,865,"1,029",Round of 64,Barcelona,Clay,BO3,17/04/2023,0
Alexander Shevchenko,Lorenzo Giustino,98,223,22,31,610,259,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Bernabe Zapata Miralles,Attila Balazs,41,745,26,34,968,30,Round of 64,Barcelona,Clay,BO3,17/04/2023,1
Timofey Skatov,Matteo Arnaldi,146,105,22,22,408,560,2nd Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Benoit Paire,Pavel Kotov,159,108,33,24,373,553,2nd Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Oleksii Krutykh,Hugo Grenier,180,127,23,27,327,466,2nd Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Jozef Kovalik,Pol Martin Tiffon,155,251,30,23,377,220,2nd Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Lorenzo Giustino,Geoffrey Blancaneaux,223,175,31,24,259,337,2nd Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Marco Trungelliti,Alex Marti Pujolras,240,397,33,24,233,118,2nd Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Nicolas Moreno De Alboran,Matteo Arnaldi,199,105,25,22,286,560,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Matteo Gigante,Pavel Kotov,195,108,21,24,295,553,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Lorenzo Giustino,Otto Virtanen,223,116,31,21,259,515,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Giulio Zeppieri,Alex Marti Pujolras,124,397,21,24,489,118,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Martin Landaluce,Hugo Grenier,889,127,17,27,16,466,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Raul Brancaccio,Pol Martin Tiffon,137,251,25,23,426,220,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Maximilian Marterer,Marco Trungelliti,144,240,27,33,411,233,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Timofey Skatov,Michael Geerts,146,215,22,28,408,270,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Marek Gengel,Jozef Kovalik,281,155,27,30,184,377,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Benoit Paire,Oriol Roca Batalla,159,285,33,29,373,182,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Geoffrey Blancaneaux,Max Alcala Gurri,175,567,24,20,337,60,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,1
Miljan Zekic,Oleksii Krutykh,258,180,34,23,214,327,1st Round Qualifying,Barcelona,Clay,BO3,17/04/2023,0
Andrey Rublev,Dusan Lajovic,6,70,25,32,"4,380",744,Finals,Banja Luka,Clay,BO3,17/04/2023,0
Alex Molcan,Andrey Rublev,73,6,25,25,735,"4,380",Semi-Finals,Banja Luka,Clay,BO3,17/04/2023,0
Miomir Kecmanovic,Dusan Lajovic,33,70,23,32,"1,125",744,Semi-Finals,Banja Luka,Clay,BO3,17/04/2023,0
Dusan Lajovic,Novak Djokovic,70,1,32,35,744,"7,240",Quarter-Finals,Banja Luka,Clay,BO3,17/04/2023,1
Andrey Rublev,Damir Dzumhur,6,202,25,30,"4,380",282,Quarter-Finals,Banja Luka,Clay,BO3,17/04/2023,1
Jiri Lehecka,Miomir Kecmanovic,36,33,21,23,"1,033","1,125",Quarter-Finals,Banja Luka,Clay,BO3,17/04/2023,0
Alex Molcan,Laslo Djere,73,78,25,27,735,716,Quarter-Finals,Banja Luka,Clay,BO3,17/04/2023,1
Novak Djokovic,Luca Van Assche,1,87,35,18,"7,240",672,Round of 16,Banja Luka,Clay,BO3,17/04/2023,1
Juan Pablo Varillas,Andrey Rublev,92,6,27,25,647,"4,380",Round of 16,Banja Luka,Clay,BO3,17/04/2023,0
Borna Coric,Laslo Djere,21,78,26,27,"1,890",716,Round of 16,Banja Luka,Clay,BO3,17/04/2023,0
Miomir Kecmanovic,Abdullah Shelbayh,33,267,23,19,"1,125",201,Round of 16,Banja Luka,Clay,BO3,17/04/2023,1
Radu Albot,Jiri Lehecka,110,36,33,21,536,"1,033",Round of 16,Banja Luka,Clay,BO3,17/04/2023,0
Damir Dzumhur,Richard Gasquet,202,42,30,36,282,940,Round of 16,Banja Luka,Clay,BO3,17/04/2023,1
Dusan Lajovic,Gregoire Barrere,70,57,32,29,744,838,Round of 16,Banja Luka,Clay,BO3,17/04/2023,1
Alex Molcan,Alexei Popyrin,73,81,25,23,735,701,Round of 16,Banja Luka,Clay,BO3,17/04/2023,1
Tallon Griekspoor,Alexei Popyrin,34,81,26,23,"1,094",701,Round of 32,Banja Luka,Clay,BO3,17/04/2023,0
Gael Monfils,Jiri Lehecka,322,36,36,21,155,"1,033",Round of 32,Banja Luka,Clay,BO3,17/04/2023,0
Richard Gasquet,Dino Prizmic,42,342,36,17,940,140,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Gregoire Barrere,Hamad Medjedovic,57,212,29,19,838,272,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Radu Albot,Federico Coria,110,76,33,31,536,721,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Laslo Djere,Roman Safiullin,78,106,27,25,716,557,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Damir Dzumhur,Liam Broady,202,132,30,29,282,433,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Dusan Lajovic,Filip Krajinovic,70,74,32,31,744,731,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Alex Molcan,Taro Daniel,73,100,25,30,735,587,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Elias Ymer,Abdullah Shelbayh,139,267,27,19,419,201,Round of 32,Banja Luka,Clay,BO3,17/04/2023,0
Luca Van Assche,Stan Wawrinka,87,84,18,38,672,692,Round of 32,Banja Luka,Clay,BO3,17/04/2023,1
Hugo Gaston,Juan Pablo Varillas,107,92,22,27,555,647,Round of 32,Banja Luka,Clay,BO3,17/04/2023,0
Radu Albot,Dimitar Kuzmanov,110,192,33,29,536,299,2nd Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,1
Liam Broady,Dino Prizmic,132,342,29,17,433,140,2nd Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,0
Lukas Klein,Abdullah Shelbayh,141,267,25,19,413,201,2nd Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,0
Elias Ymer,Francesco Maestrelli,139,168,27,20,419,355,2nd Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,1
Radu Albot,Aldin Setkic,110,544,33,35,536,65,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,1
Arthur Fils,Francesco Maestrelli,122,168,18,20,495,355,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,0
Valentin Vacherot,Liam Broady,354,132,24,29,134,433,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,0
Fabian Marozsan,Abdullah Shelbayh,133,267,23,19,428,201,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,0
Lukas Klein,Arthur Cazaux,141,191,25,20,413,302,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,1
Elias Ymer,Nerman Fatic,139,268,27,28,419,201,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,1
Dino Prizmic,Mattia Bellucci,342,151,17,21,140,380,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,1
Luca Nardi,Dimitar Kuzmanov,143,192,19,29,412,299,1st Round Qualifying,Banja Luka,Clay,BO3,17/04/2023,0
Botic van de Zandschulp,Holger Rune,29,7,27,19,"1,250","3,865",Finals,Munich,Clay,BO3,17/04/2023,0
Christopher O'Connell,Holger Rune,82,7,28,19,700,"3,865",Semi-Finals,Munich,Clay,BO3,17/04/2023,0
Taylor Fritz,Botic van de Zandschulp,10,29,25,27,"3,245","1,250",Semi-Finals,Munich,Clay,BO3,17/04/2023,0
Cristian Garin,Holger Rune,86,7,26,19,678,"3,865",Quarter-Finals,Munich,Clay,BO3,17/04/2023,0
Dominic Thiem,Taylor Fritz,101,10,29,25,580,"3,245",Quarter-Finals,Munich,Clay,BO3,17/04/2023,0
Marcos Giron,Botic van de Zandschulp,68,29,29,27,756,"1,250",Quarter-Finals,Munich,Clay,BO3,17/04/2023,0
Flavio Cobolli,Christopher O'Connell,208,82,20,28,277,700,Quarter-Finals,Munich,Clay,BO3,17/04/2023,0
Holger Rune,Yannick Hanfmann,7,112,19,31,"3,865",534,Round of 16,Munich,Clay,BO3,17/04/2023,1
Marton Fucsovics,Taylor Fritz,75,10,31,25,722,"3,245",Round of 16,Munich,Clay,BO3,17/04/2023,0
Christopher O'Connell,Alexander Zverev,82,16,28,25,700,"2,140",Round of 16,Munich,Clay,BO3,17/04/2023,1
Aslan Karatsev,Botic van de Zandschulp,129,29,29,27,465,"1,250",Round of 16,Munich,Clay,BO3,17/04/2023,0
Lorenzo Sonego,Cristian Garin,45,86,27,26,915,678,Round of 16,Munich,Clay,BO3,17/04/2023,0
Dominic Thiem,Marc-Andrea Huesler,101,63,29,26,580,780,Round of 16,Munich,Clay,BO3,17/04/2023,1
Oscar Otte,Flavio Cobolli,94,208,29,20,631,277,Round of 16,Munich,Clay,BO3,17/04/2023,0
Marcos Giron,Alexander Ritschard,68,209,29,29,756,274,Round of 16,Munich,Clay,BO3,17/04/2023,1
Oscar Otte,Sebastian Baez,94,30,29,22,631,"1,190",Round of 32,Munich,Clay,BO3,17/04/2023,1
Lorenzo Sonego,Quentin Halys,45,65,27,26,915,771,Round of 32,Munich,Clay,BO3,17/04/2023,1
Roberto Carballes Baena,Marcos Giron,53,68,30,29,867,756,Round of 32,Munich,Clay,BO3,17/04/2023,0
Marc-Andrea Huesler,Kyle Edmund,63,509,26,28,780,72,Round of 32,Munich,Clay,BO3,17/04/2023,1
Flavio Cobolli,Jordan Thompson,208,91,20,28,277,655,Round of 32,Munich,Clay,BO3,17/04/2023,1
Marton Fucsovics,Max Hans Rehberg,75,412,31,19,722,112,Round of 32,Munich,Clay,BO3,17/04/2023,1
Cristian Garin,Marko Topo,86,478,26,19,678,82,Round of 32,Munich,Clay,BO3,17/04/2023,1
Thiago Monteiro,Yannick Hanfmann,89,112,28,31,665,534,Round of 32,Munich,Clay,BO3,17/04/2023,0
Daniel Altmaier,Aslan Karatsev,93,129,24,29,640,465,Round of 32,Munich,Clay,BO3,17/04/2023,0
Ugo Humbert,Christopher O'Connell,72,82,24,28,738,700,Round of 32,Munich,Clay,BO3,17/04/2023,0
Alexander Ritschard,Jan-Lennard Struff,209,64,29,32,274,779,Round of 32,Munich,Clay,BO3,17/04/2023,1
Constant Lestienne,Dominic Thiem,60,101,30,29,798,580,Round of 32,Munich,Clay,BO3,17/04/2023,0
Louis Wessels,Aslan Karatsev,289,129,24,29,180,465,2nd Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Marko Topo,Vit Kopriva,478,165,19,25,82,357,2nd Round Qualifying,Munich,Clay,BO3,17/04/2023,1
Alexander Ritschard,Riccardo Bonadio,209,179,29,29,274,330,2nd Round Qualifying,Munich,Clay,BO3,17/04/2023,1
Zdenek Kolar,Flavio Cobolli,206,208,26,20,277,277,2nd Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Robin Haase,Aslan Karatsev,277,129,36,29,185,465,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Vit Kopriva,Alvaro Lopez San Martin,165,307,25,25,357,171,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,1
Philip Florig,Riccardo Bonadio,878,179,19,29,17,330,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Viktor Durasovic,Zdenek Kolar,304,206,26,26,171,277,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Flavio Cobolli,Lukas Rosol,208,291,20,37,277,179,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,1
Alexey Vatutin,Alexander Ritschard,318,209,30,29,162,274,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Shintaro Mochizuki,Marko Topo,217,478,19,19,267,82,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,0
Louis Wessels,Daniel Masur,289,271,24,28,180,192,1st Round Qualifying,Munich,Clay,BO3,17/04/2023,1
Carlos Alcaraz,Jan-Lennard Struff,2,65,19,32,"6,770",779,Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Borna Coric,Carlos Alcaraz,20,2,26,19,"1,890","6,770",Semi-Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Aslan Karatsev,Jan-Lennard Struff,121,65,29,32,497,779,Semi-Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Karen Khachanov,Carlos Alcaraz,12,2,26,19,"2,855","6,770",Quarter-Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Jan-Lennard Struff,Stefanos Tsitsipas,65,5,32,24,779,"5,195",Quarter-Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Borna Coric,Daniel Altmaier,20,92,26,24,"1,890",633,Quarter-Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Aslan Karatsev,Zhizhen Zhang,121,99,29,26,497,606,Quarter-Finals,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Carlos Alcaraz,Alexander Zverev,2,16,19,26,"6,770","2,140",Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Daniil Medvedev,Aslan Karatsev,3,121,27,29,"5,240",497,Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Stefanos Tsitsipas,Bernabe Zapata Miralles,5,42,24,26,"5,195",958,Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Karen Khachanov,Andrey Rublev,12,6,26,25,"2,855","4,280",Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Taylor Fritz,Zhizhen Zhang,10,99,25,26,"3,290",606,Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Borna Coric,Alejandro Davidovich Fokina,20,35,26,23,"1,890","1,095",Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Daniel Altmaier,Jaume Munar,92,88,24,25,633,666,Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Pedro Cachin,Jan-Lennard Struff,67,65,28,32,767,779,Round of 16,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Grigor Dimitrov,Carlos Alcaraz,32,2,31,19,"1,170","6,770",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Alexander Shevchenko,Daniil Medvedev,96,3,22,27,610,"5,240",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Sebastian Baez,Stefanos Tsitsipas,31,5,22,24,"1,190","5,195",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Andrey Rublev,Yoshihito Nishioka,6,34,25,27,"4,280","1,138",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Holger Rune,Alejandro Davidovich Fokina,7,35,19,23,"4,070","1,095",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Taylor Fritz,Cristian Garin,10,73,25,26,"3,290",723,Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Pedro Cachin,Frances Tiafoe,67,11,28,25,767,"2,870",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Roberto Bautista Agut,Karen Khachanov,25,12,35,26,"1,475","2,855",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Zhizhen Zhang,Cameron Norrie,99,13,26,27,606,"2,725",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Borna Coric,Hubert Hurkacz,20,15,26,26,"1,890","2,660",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Hugo Grenier,Alexander Zverev,128,16,27,26,466,"2,140",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Aslan Karatsev,Alex de Minaur,121,19,29,24,497,"1,995",Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Daniel Altmaier,Yannick Hanfmann,92,108,24,31,633,548,Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Jaume Munar,Matteo Arnaldi,88,105,25,22,666,556,Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Jan-Lennard Struff,Dusan Lajovic,65,40,32,32,779,994,Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Roman Safiullin,Bernabe Zapata Miralles,112,42,25,26,525,958,Round of 32,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Carlos Alcaraz,Emil Ruusuvuori,2,41,19,24,"6,770",977,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Daniil Medvedev,Andrea Vavassori,3,164,27,27,"5,240",369,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Matteo Arnaldi,Casper Ruud,105,4,22,24,556,"5,210",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Dominic Thiem,Stefanos Tsitsipas,93,5,29,24,625,"5,195",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Andrey Rublev,Stan Wawrinka,6,84,25,38,"4,280",692,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Holger Rune,Alexander Bublik,7,55,19,25,"4,070",865,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Dusan Lajovic,Felix Auger-Aliassime,40,9,32,22,994,"3,405",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Christopher O'Connell,Taylor Fritz,81,10,28,25,710,"3,290",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Tomas Martin Etcheverry,Frances Tiafoe,59,11,23,25,814,"2,870",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Thiago Monteiro,Karen Khachanov,97,12,28,26,608,"2,855",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Yosuke Watanuki,Cameron Norrie,117,13,25,27,502,"2,725",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Hubert Hurkacz,Richard Gasquet,15,43,26,36,"2,660",951,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Alexander Zverev,Roberto Carballes Baena,16,53,26,30,"2,140",867,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Tommy Paul,Roman Safiullin,17,112,25,25,"2,070",525,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Lorenzo Musetti,Yannick Hanfmann,18,108,21,31,"2,065",548,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Marco Cecchinato,Alex de Minaur,85,19,30,24,688,"1,995",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Hugo Gaston,Borna Coric,106,20,22,26,555,"1,890",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Daniel Evans,Bernabe Zapata Miralles,24,42,32,26,"1,560",958,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Roberto Bautista Agut,Quentin Halys,25,66,35,26,"1,475",771,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Zhizhen Zhang,Denis Shapovalov,99,27,26,24,606,"1,425",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Hugo Grenier,Sebastian Korda,128,28,27,22,466,"1,390",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Aslan Karatsev,Botic van de Zandschulp,121,29,29,27,497,"1,390",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Francisco Cerundolo,Pedro Cachin,30,67,24,28,"1,235",767,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Sebastian Baez,Marcos Giron,31,61,22,29,"1,190",801,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Grigor Dimitrov,Gregoire Barrere,32,56,31,29,"1,170",848,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Miomir Kecmanovic,Cristian Garin,33,73,23,26,"1,170",723,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Yoshihito Nishioka,Alex Molcan,34,58,27,25,"1,138",825,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Albert Ramos-Vinolas,Alejandro Davidovich Fokina,60,35,35,23,810,"1,095",Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Tallon Griekspoor,Jaume Munar,36,88,26,25,"1,094",666,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Jiri Lehecka,Alexander Shevchenko,37,96,21,22,"1,046",610,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Ben Shelton,Jan-Lennard Struff,38,65,20,32,"1,042",779,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Daniel Altmaier,Oscar Otte,92,98,24,29,633,606,Round of 64,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Benoit Paire,Matteo Arnaldi,161,105,33,22,377,556,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Gregoire Barrere,Emilio Nava,56,173,29,21,848,344,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Alexander Bublik,Daniel Elahi Galan,55,100,25,26,865,586,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Pedro Cachin,Abdullah Shelbayh,67,243,28,19,767,233,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Roberto Carballes Baena,David Goffin,53,95,30,32,867,615,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Marco Cecchinato,Marton Fucsovics,85,83,30,31,688,697,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Adrian Mannarino,Tomas Martin Etcheverry,46,59,34,23,917,814,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Marc-Andrea Huesler,Cristian Garin,76,73,26,26,720,723,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Martin Landaluce,Richard Gasquet,894,43,17,36,16,951,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Jeremy Chardy,Hugo Gaston,635,106,36,22,45,555,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Nuno Borges,Marcos Giron,74,61,26,29,723,801,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Hugo Grenier,Diego Schwartzman,128,72,27,30,466,730,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Quentin Halys,Alexei Popyrin,66,75,26,23,771,721,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Yannick Hanfmann,Juan Pablo Varillas,108,87,31,27,548,667,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Aslan Karatsev,Laslo Djere,121,70,29,27,497,741,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Jason Kubler,Dusan Lajovic,63,40,29,32,782,994,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Alex Molcan,Yibing Wu,58,57,25,23,825,843,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Borna Gojo,Thiago Monteiro,110,97,25,28,538,608,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Jaume Munar,Thanasi Kokkinakis,88,111,25,27,666,534,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Filip Krajinovic,Christopher O'Connell,79,81,31,28,711,710,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Pavel Kotov,Oscar Otte,101,98,24,29,583,606,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Ilya Ivashka,Albert Ramos-Vinolas,69,60,29,35,761,810,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Ugo Humbert,Emil Ruusuvuori,77,41,24,24,718,977,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Roman Safiullin,Nicolas Jarry,112,51,25,27,525,878,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Alexander Shevchenko,J.J. Wolf,96,49,22,24,610,880,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Lorenzo Sonego,Jan-Lennard Struff,47,65,27,32,890,779,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Kyle Edmund,Dominic Thiem,498,93,28,29,75,625,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Andy Murray,Andrea Vavassori,52,164,35,27,870,369,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Yosuke Watanuki,Corentin Moutet,117,64,25,24,502,780,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Stan Wawrinka,Maxime Cressy,84,39,38,25,692,"1,010",Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Bernabe Zapata Miralles,Mackenzie McDonald,42,54,26,28,958,865,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Jurij Rodionov,Zhizhen Zhang,119,99,23,26,502,606,Round of 128,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,0
Aslan Karatsev,Jan-Lennard Struff,121,65,29,32,497,779,2nd Round Qualifying,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
Marco Cecchinato,Giulio Zeppieri,85,125,30,21,688,489,2nd Round Qualifying,ATP Masters 1000 Madrid,Clay,BO3,26/04/2023,1
